iter	Passed	Remaining
0	1628	1626952
1	1629	813280
2	1630	541962
3	1631	406333
4	1632	324921
5	1633	270641
6	1634	231875
7	1635	202799
8	1636	180178
9	1637	162082
10	1638	147280
11	1639	135023
12	1640	124579
13	1641	115629
14	1642	107874
15	1643	101086
16	1644	95099
17	1645	89773
18	1646	85008
19	1647	80721
20	1648	76854
21	1649	73327
22	1650	70104
23	1651	67149
24	1652	64431
25	1653	61925
26	1653	59603
27	1654	57446
28	1655	55436
29	1656	53563
30	1657	51811
31	1658	50167
32	1659	48623
33	1660	47168
34	1661	45801
35	1662	44507
36	1662	43282
37	1663	42122
38	1664	41024
39	1665	39979
40	1666	38984
41	1667	38036
42	1668	37132
43	1669	36269
44	1670	35446
45	1671	34658
46	1672	33910
47	1674	33207
48	1675	32514
49	1676	31847
50	1677	31208
51	1678	30592
52	1678	29998
53	1679	29427
54	1680	28876
55	1681	28347
56	1682	27837
57	1683	27343
58	1684	26869
59	1685	26409
60	1686	25963
61	1687	25531
62	1688	25111
63	1689	24705
64	1690	24312
65	1691	23931
66	1692	23561
67	1692	23197
68	1693	22848
69	1694	22509
70	1695	22179
71	1695	21858
72	1696	21548
73	1697	21245
74	1698	20950
75	1699	20666
76	1700	20387
77	1701	20114
78	1702	19848
79	1703	19588
80	1704	19336
81	1705	19089
82	1706	18848
83	1707	18614
84	1708	18389
85	1709	18165
86	1709	17943
87	1710	17729
88	1711	17520
89	1712	17317
90	1713	17117
91	1714	16922
92	1715	16733
93	1716	16547
94	1717	16363
95	1718	16183
96	1719	16007
97	1720	15834
98	1721	15664
99	1722	15498
100	1722	15335
101	1723	15172
102	1724	15016
103	1725	14863
104	1726	14713
105	1726	14565
106	1727	14420
107	1728	14278
108	1729	14139
109	1730	14001
110	1731	13866
111	1732	13733
112	1733	13603
113	1733	13476
114	1735	13352
115	1735	13227
116	1736	13106
117	1737	12987
118	1738	12870
119	1739	12759
120	1741	12648
121	1742	12539
122	1743	12433
123	1744	12325
124	1745	12218
125	1746	12113
126	1747	12010
127	1747	11906
128	1748	11806
129	1749	11707
130	1750	11611
131	1751	11515
132	1752	11423
133	1753	11331
134	1754	11239
135	1755	11149
136	1755	11061
137	1756	10972
138	1757	10886
139	1758	10801
140	1759	10717
141	1760	10634
142	1760	10553
143	1761	10473
144	1762	10393
145	1763	10315
146	1764	10238
147	1765	10162
148	1766	10087
149	1767	10013
150	1767	9940
151	1768	9867
152	1769	9797
153	1770	9727
154	1771	9658
155	1772	9589
156	1773	9521
157	1774	9454
158	1775	9388
159	1775	9323
160	1776	9259
161	1777	9195
162	1779	9139
163	1780	9078
164	1781	9017
165	1782	8956
166	1783	8896
167	1784	8837
168	1785	8778
169	1786	8721
170	1787	8664
171	1788	8609
172	1789	8553
173	1790	8498
174	1791	8443
175	1791	8389
176	1792	8336
177	1793	8283
178	1794	8231
179	1795	8179
180	1795	8126
181	1796	8076
182	1797	8025
183	1798	7976
184	1799	7927
185	1800	7879
186	1801	7831
187	1802	7783
188	1802	7736
189	1803	7690
190	1804	7644
191	1805	7599
192	1806	7554
193	1807	7510
194	1808	7466
195	1809	7422
196	1810	7379
197	1811	7336
198	1812	7293
199	1812	7251
200	1814	7213
201	1815	7172
202	1816	7131
203	1817	7091
204	1818	7050
205	1818	7011
206	1819	6971
207	1820	6932
208	1821	6894
209	1822	6856
210	1823	6819
211	1824	6782
212	1825	6744
213	1826	6708
214	1827	6671
215	1828	6635
216	1828	6599
217	1829	6563
218	1830	6528
219	1831	6493
220	1832	6459
221	1833	6424
222	1834	6390
223	1835	6356
224	1835	6323
225	1836	6290
226	1837	6257
227	1838	6224
228	1839	6192
229	1840	6160
230	1841	6130
231	1842	6098
232	1843	6067
233	1844	6036
234	1844	6005
235	1845	5975
236	1846	5944
237	1847	5914
238	1848	5885
239	1849	5855
240	1850	5828
241	1851	5799
242	1852	5770
243	1853	5742
244	1854	5713
245	1855	5685
246	1855	5657
247	1856	5630
248	1857	5602
249	1858	5575
250	1859	5548
251	1860	5521
252	1861	5495
253	1862	5469
254	1863	5444
255	1864	5419
256	1866	5394
257	1867	5369
258	1868	5344
259	1868	5319
260	1869	5294
261	1870	5269
262	1871	5245
263	1872	5220
264	1873	5196
265	1874	5172
266	1875	5148
267	1876	5125
268	1877	5102
269	1878	5078
270	1879	5055
271	1880	5032
272	1881	5009
273	1882	4987
274	1883	4964
275	1884	4944
276	1885	4922
277	1886	4900
278	1887	4878
279	1888	4856
280	1889	4834
281	1890	4813
282	1891	4792
283	1892	4771
284	1893	4750
285	1894	4729
286	1895	4709
287	1896	4688
288	1897	4669
289	1898	4648
290	1899	4628
291	1900	4608
292	1901	4588
293	1902	4569
294	1903	4549
295	1904	4529
296	1905	4510
297	1906	4491
298	1907	4472
299	1908	4452
300	1909	4434
301	1910	4415
