iter	Passed	Remaining
0	1057	1056524
1	1058	528352
2	1059	352219
3	1060	264172
4	1062	211347
5	1063	176110
6	1063	150930
7	1064	132038
8	1065	117345
9	1066	105590
10	1067	95972
11	1068	87977
12	1069	81198
13	1101	77606
14	1102	72422
15	1104	67898
16	1104	63893
17	1105	60332
18	1106	57147
19	1107	54280
20	1108	51690
21	1109	49340
22	1110	47188
23	1111	45220
24	1113	43409
25	1114	41741
26	1115	40196
27	1116	38767
28	1118	37444
29	1119	36196
30	1120	35022
31	1121	33920
32	1122	32887
33	1123	31912
34	1124	30992
35	1124	30124
36	1126	29315
37	1127	28538
38	1128	27800
39	1129	27098
40	1129	26430
41	1130	25793
42	1131	25192
43	1133	24617
44	1133	24064
45	1135	23539
46	1135	23032
47	1136	22547
48	1138	22086
49	1139	21642
50	1140	21217
51	1141	20804
52	1142	20409
53	1143	20031
54	1144	19665
55	1145	19317
56	1147	18977
57	1148	18648
58	1149	18331
59	1150	18020
60	1151	17722
61	1152	17433
62	1153	17157
63	1154	16885
64	1155	16627
65	1156	16372
66	1157	16123
67	1158	15882
68	1159	15651
69	1160	15423
70	1161	15201
71	1162	14986
72	1163	14776
73	1164	14571
74	1165	14372
75	1166	14181
76	1167	13996
77	1168	13813
78	1169	13636
79	1170	13461
80	1171	13291
81	1172	13127
82	1173	12962
83	1174	12806
84	1175	12653
85	1176	12504
86	1177	12359
87	1178	12217
88	1205	12339
89	1206	12200
90	1207	12063
91	1208	11928
92	1209	11795
93	1210	11667
94	1211	11541
95	1212	11418
96	1213	11296
97	1214	11176
98	1215	11059
99	1216	10947
100	1217	10836
101	1218	10726
102	1219	10617
103	1220	10512
104	1221	10408
105	1222	10306
106	1222	10206
107	1224	10111
108	1225	10016
109	1226	9923
110	1227	9831
111	1228	9742
112	1229	9653
113	1230	9565
114	1231	9479
115	1232	9394
116	1233	9309
117	1234	9227
118	1235	9147
119	1236	9067
120	1237	8989
121	1238	8912
122	1239	8837
123	1240	8762
124	1241	8689
125	1242	8619
126	1243	8548
127	1244	8479
128	1258	8497
129	1259	8429
130	1260	8361
131	1261	8295
132	1262	8230
133	1263	8165
134	1264	8100
135	1265	8037
136	1266	7975
137	1267	7914
138	1268	7855
139	1269	7796
140	1270	7738
141	1270	7679
142	1271	7621
143	1272	7565
144	1273	7509
145	1274	7454
146	1275	7399
147	1276	7345
148	1276	7293
149	1277	7241
150	1278	7190
151	1279	7140
152	1281	7091
153	1282	7043
154	1283	6995
155	1284	6947
156	1285	6901
157	1286	6855
158	1287	6809
159	1288	6764
160	1289	6717
161	1290	6673
162	1290	6629
163	1291	6585
164	1293	6543
165	1294	6501
166	1295	6462
167	1296	6421
168	1297	6381
169	1298	6341
170	1299	6301
171	1300	6260
172	1301	6221
173	1302	6182
174	1303	6144
175	1304	6106
176	1305	6069
177	1306	6032
178	1307	5996
179	1308	5960
180	1309	5924
181	1310	5890
182	1311	5857
183	1312	5822
184	1314	5789
185	1315	5755
186	1316	5721
187	1317	5688
188	1318	5655
189	1319	5623
190	1320	5591
191	1321	5560
192	1322	5529
193	1323	5498
194	1324	5468
195	1325	5438
196	1326	5409
197	1328	5379
198	1329	5349
199	1329	5319
200	1330	5289
201	1331	5260
202	1332	5232
203	1333	5203
204	1334	5175
205	1335	5147
206	1336	5120
207	1337	5093
208	1338	5066
209	1339	5039
210	1340	5012
211	1341	4986
212	1342	4959
213	1343	4933
214	1344	4907
215	1344	4881
216	1345	4856
217	1346	4830
218	1347	4805
219	1348	4780
220	1349	4758
221	1351	4734
222	1351	4710
223	1352	4686
224	1353	4662
225	1354	4638
226	1355	4615
227	1356	4592
228	1357	4569
229	1358	4547
230	1359	4524
231	1360	4502
232	1360	4479
233	1361	4457
234	1362	4435
235	1363	4413
236	1366	4398
237	1367	4378
238	1368	4357
239	1369	4338
240	1371	4318
241	1372	4298
242	1373	4280
243	1375	4261
244	1378	4247
245	1380	4230
246	1381	4212
247	1383	4194
248	1386	4181
249	1388	4164
250	1389	4147
251	1390	4128
252	1392	4111
253	1393	4093
254	1395	4075
255	1396	4058
256	1397	4041
257	1399	4023
258	1400	4006
259	1401	3988
260	1402	3971
261	1403	3953
262	1404	3937
263	1406	3920
264	1407	3904
265	1408	3887
266	1410	3873
267	1411	3856
268	1413	3840
269	1414	3823
270	1415	3806
271	1416	3790
272	1416	3773
273	1418	3757
274	1419	3742
275	1420	3726
276	1421	3710
277	1422	3695
278	1423	3679
279	1424	3663
280	1425	3647
281	1426	3631
282	1427	3615
283	1428	3600
284	1428	3584
285	1430	3571
286	1433	3560
287	1434	3547
288	1436	3534
289	1438	3523
290	1441	3512
291	1447	3510
292	1448	3495
293	1450	3482
294	1451	3468
295	1452	3453
296	1453	3440
297	1454	3426
298	1456	3414
299	1457	3401
300	1459	3388
301	1460	3375
302	1461	3361
303	1462	3348
304	1463	3334
305	1464	3320
306	1465	3307
307	1466	3293
308	1466	3280
309	1467	3266
310	1468	3253
311	1469	3240
312	1470	3227
313	1471	3214
314	1472	3202
315	1474	3191
316	1475	3178
317	1476	3166
318	1477	3153
319	1478	3141
320	1479	3129
321	1480	3117
322	1481	3106
323	1483	3095
324	1484	3083
325	1485	3071
326	1486	3059
327	1487	3047
328	1489	3036
329	1490	3025
330	1491	3014
331	1492	3002
332	1493	2990
333	1494	2980
334	1495	2968
335	1496	2957
336	1497	2945
337	1498	2933
338	1498	2922
339	1500	2911
340	1501	2901
341	1502	2890
342	1503	2879
343	1504	2868
344	1505	2857
345	1505	2846
346	1506	2835
347	1507	2824
348	1508	2814
349	1509	2803
350	1510	2792
351	1511	2782
352	1512	2771
353	1512	2760
354	1513	2750
355	1515	2740
356	1515	2730
357	1516	2720
358	1517	2710
359	1518	2699
360	1519	2689
361	1520	2679
362	1521	2669
363	1522	2659
364	1523	2649
365	1524	2640
366	1525	2630
367	1526	2621
368	1527	2611
369	1527	2601
370	1529	2592
371	1529	2582
372	1530	2573
373	1531	2564
374	1532	2554
375	1533	2545
376	1534	2535
377	1535	2526
378	1536	2516
379	1536	2507
380	1537	2498
381	1538	2489
382	1539	2479
383	1540	2471
384	1541	2462
385	1542	2454
386	1543	2445
387	1544	2436
388	1545	2427
389	1546	2418
390	1547	2409
391	1548	2401
392	1548	2392
393	1549	2383
394	1550	2375
395	1551	2366
396	1552	2358
397	1553	2349
398	1554	2341
399	1555	2333
400	1557	2326
401	1558	2318
402	1559	2310
403	1561	2304
404	1562	2296
405	1563	2288
406	1565	2280
407	1566	2273
408	1568	2265
409	1570	2260
410	1571	2252
411	1573	2245
412	1574	2238
413	1576	2230
414	1577	2223
415	1579	2217
416	1581	2210
417	1584	2206
418	1586	2199
419	1588	2193
420	1590	2187
421	1593	2183
422	1595	2176
423	1601	2175
424	1602	2168
425	1605	2162
426	1606	2156
427	1608	2149
428	1609	2142
429	1610	2135
430	1611	2128
431	1613	2120
432	1614	2113
433	1615	2106
434	1616	2099
435	1617	2092
436	1618	2085
437	1619	2078
438	1620	2070
439	1621	2063
440	1622	2056
441	1623	2049
442	1624	2042
443	1626	2036
444	1627	2029
445	1628	2023
446	1629	2016
447	1630	2009
448	1631	2002
449	1632	1995
450	1633	1988
451	1634	1981
452	1635	1975
453	1636	1968
454	1637	1961
455	1639	1955
456	1640	1949
457	1641	1942
458	1642	1936
459	1643	1929
460	1644	1923
461	1645	1916
462	1646	1909
463	1647	1903
464	1648	1896
465	1649	1890
466	1651	1884
467	1652	1878
468	1653	1872
469	1655	1866
470	1656	1860
471	1656	1853
472	1657	1847
473	1658	1840
474	1659	1834
475	1661	1829
476	1665	1825
477	1667	1820
478	1670	1817
479	1671	1811
480	1672	1804
481	1673	1798
482	1674	1792
483	1675	1786
484	1676	1780
485	1677	1774
486	1678	1768
487	1680	1763
488	1733	1811
489	1734	1805
490	1735	1799
491	1736	1792
492	1737	1787
493	1738	1781
494	1740	1775
495	1742	1770
496	1743	1764
497	1744	1758
498	1746	1753
499	1747	1747
500	1748	1741
501	1749	1735
502	1750	1729
503	1751	1723
504	1752	1717
505	1753	1711
506	1754	1705
507	1755	1700
508	1756	1694
509	1757	1688
510	1757	1682
511	1759	1676
512	1760	1670
513	1760	1664
514	1761	1659
515	1762	1653
516	1763	1647
517	1764	1641
518	1765	1636
519	1766	1630
520	1767	1624
521	1768	1619
522	1769	1613
523	1770	1607
524	1770	1602
525	1771	1596
526	1772	1591
527	1773	1585
528	1775	1580
529	1776	1575
530	1777	1569
531	1778	1564
532	1778	1558
533	1779	1553
534	1780	1547
535	1782	1542
536	1783	1537
537	1784	1532
538	1786	1527
539	1787	1522
540	1788	1517
541	1789	1512
542	1790	1506
543	1791	1501
544	1792	1496
545	1793	1491
546	1794	1486
547	1795	1481
548	1796	1475
549	1797	1470
550	1798	1465
551	1799	1460
552	1800	1455
553	1801	1450
554	1802	1445
555	1803	1440
556	1804	1435
557	1805	1430
558	1806	1425
559	1807	1420
560	1808	1415
561	1809	1410
562	1810	1405
563	1811	1400
564	1811	1395
565	1812	1389
566	1813	1385
567	1814	1380
568	1815	1375
569	1816	1370
570	1817	1365
571	1818	1360
572	1819	1356
573	1820	1351
574	1821	1346
575	1822	1341
576	1823	1336
577	1824	1331
578	1825	1327
579	1826	1322
580	1827	1317
581	1828	1312
582	1828	1308
583	1829	1303
584	1830	1298
585	1831	1293
586	1832	1289
587	1833	1284
588	1834	1280
589	1835	1275
590	1836	1270
591	1837	1266
592	1838	1261
593	1838	1256
594	1839	1252
595	1840	1247
596	1841	1243
597	1842	1238
598	1843	1234
599	1844	1229
600	1845	1225
601	1846	1220
602	1847	1216
603	1848	1211
604	1849	1207
605	1850	1202
606	1851	1198
607	1851	1194
608	1853	1189
609	1853	1185
610	1855	1181
611	1855	1176
612	1856	1172
613	1857	1167
614	1858	1163
615	1859	1159
616	1860	1155
617	1861	1150
618	1863	1146
619	1864	1142
620	1864	1138
621	1865	1133
622	1866	1129
623	1867	1125
624	1868	1120
625	1869	1117
626	1870	1112
627	1871	1108
628	1872	1104
629	1873	1100
630	1874	1096
631	1875	1092
632	1876	1087
633	1877	1083
634	1878	1079
635	1879	1075
636	1880	1071
637	1881	1067
638	1882	1063
639	1883	1059
640	1884	1055
641	1885	1051
642	1887	1047
643	1888	1043
644	1889	1039
645	1889	1035
646	1890	1031
647	1891	1027
648	1892	1023
649	1893	1019
650	1894	1015
651	1894	1011
652	1895	1007
653	1896	1003
654	1897	999
655	1898	995
656	1899	991
657	1900	987
658	1901	983
659	1901	979
660	1902	975
661	1903	971
662	1904	968
663	1905	964
664	1906	960
665	1907	956
666	1908	952
667	1909	948
668	1910	945
669	1911	941
670	1912	937
671	1913	933
672	1914	930
673	1915	926
674	1916	922
675	1917	918
676	1918	915
677	1918	911
678	1919	907
679	1920	903
680	1921	900
681	1923	896
682	1924	893
683	1924	889
684	1925	885
685	1926	881
686	1928	878
687	1929	874
688	1930	871
689	1931	867
690	1932	863
691	1933	860
692	1933	856
693	1934	853
694	1936	849
695	1937	846
696	1938	842
697	1939	839
698	1941	835
699	1942	832
700	1943	828
701	1979	840
702	1980	836
703	1981	833
704	1983	829
705	1985	826
706	1986	823
707	1987	819
708	1989	816
709	1990	813
710	1991	809
711	1993	806
712	1994	802
713	2003	802
714	2004	799
715	2005	795
716	2007	792
717	2008	789
718	2010	785
719	2012	782
720	2013	779
721	2014	775
722	2016	772
723	2021	770
724	2022	767
725	2023	763
726	2025	760
727	2026	757
728	2028	753
729	2029	750
730	2030	747
731	2031	743
732	2032	740
733	2033	737
734	2034	733
735	2036	730
736	2037	726
737	2039	724
738	2040	720
739	2042	717
740	2043	714
741	2044	710
742	2045	707
743	2046	704
744	2047	700
745	2049	697
746	2050	694
747	2055	692
748	2058	689
749	2059	686
750	2061	683
751	2062	680
752	2062	676
753	2063	673
754	2064	669
755	2065	666
756	2066	663
757	2068	660
758	2069	657
759	2071	654
760	2072	650
761	2073	647
762	2074	644
763	2075	641
764	2076	637
765	2077	634
766	2078	631
767	2079	628
768	2081	625
769	2082	622
770	2084	619
771	2085	616
772	2087	612
773	2088	609
774	2089	606
775	2090	603
776	2091	600
777	2092	597
778	2094	594
779	2095	590
780	2096	587
781	2097	584
782	2099	581
783	2100	578
784	2101	575
785	2102	572
786	2103	569
787	2104	566
788	2105	562
789	2106	559
790	2106	556
791	2107	553
792	2108	550
793	2109	547
794	2110	544
795	2111	541
796	2112	538
797	2113	535
798	2114	531
799	2115	528
800	2116	525
801	2117	522
802	2117	519
803	2118	516
804	2119	513
805	2120	510
806	2121	507
807	2122	504
808	2123	501
809	2124	498
810	2125	495
811	2126	492
812	2127	489
813	2128	486
814	2129	483
815	2130	480
816	2131	477
817	2132	474
818	2132	471
819	2133	468
820	2134	465
821	2135	462
822	2136	459
823	2137	456
824	2138	453
825	2139	450
826	2140	447
827	2141	444
828	2142	441
829	2143	439
830	2144	436
831	2145	433
832	2145	430
833	2146	427
834	2147	424
835	2149	421
836	2149	418
837	2150	415
838	2151	412
839	2152	410
840	2153	407
841	2154	404
842	2155	401
843	2156	398
844	2157	395
845	2158	392
846	2159	390
847	2160	387
848	2161	384
849	2162	381
850	2162	378
851	2163	375
852	2164	373
853	2165	370
854	2166	367
855	2167	364
856	2168	361
857	2169	359
858	2170	356
859	2171	353
860	2172	350
861	2172	347
862	2173	345
863	2174	342
864	2175	339
865	2176	336
866	2177	334
867	2178	331
868	2179	328
869	2180	325
870	2180	323
871	2182	320
872	2183	317
873	2184	314
874	2185	312
875	2186	309
876	2187	306
877	2188	304
878	2189	301
879	2189	298
880	2190	295
881	2191	293
882	2192	290
883	2194	287
884	2195	285
885	2196	282
886	2197	279
887	2197	277
888	2198	274
889	2199	271
890	2200	269
891	2201	266
892	2202	263
893	2203	261
894	2204	258
895	2205	255
896	2206	253
897	2207	250
898	2208	248
899	2209	245
900	2210	242
901	2211	240
902	2212	237
903	2213	235
904	2214	232
905	2214	229
906	2215	227
907	2216	224
908	2217	221
909	2218	219
910	2219	216
911	2220	214
912	2221	211
913	2222	209
914	2223	206
915	2224	203
916	2225	201
917	2226	198
918	2226	196
919	2227	193
920	2228	191
921	2229	188
922	2230	186
923	2231	183
924	2232	180
925	2233	178
926	2234	175
927	2235	173
928	2237	170
